.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR20736630_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736630_2	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736631_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736631_2	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736632_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736632_2	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736633_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736633_2	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736634_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736634_2	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736635_1	1	1	1	0.25	1	1	0.5	0.5	1	1
SRR20736635_2	1	1	1	0.25	1	1	0.5	0.5	1	1
