Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR20736630_1	(1, 0.0)	(2, 0.0)	(3, 0.005105082457361844)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0002082278705830538)	(15, 0.0)	(20, 0.00022222638289115824)	(25, 7.086746855977881e-05)	(30, 0.0001137379125033487)	(35, 2.0997768462156687e-05)	(40, 1.7498140385130568e-06)	(45, 0.0)	(50, 0.0002458488724110845)	(55, 0.00012686151779219663)	(60, 0.0015354618187952073)	(65, 2.362248951992627e-05)	(70, 3.412137375100461e-05)	(75, 0.00024147433731480186)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.5748339298250153e-05)	(100, 2.889278665227502e-05)	(105, 0.00020079872823730886)	(110, 1.405540159668835e-05)	(115, 0.0)	(120, 8.829306297032115e-07)	(125, 3.0121856464233232e-05)	(130, 0.0)	(135, 1.1611116035911395e-05)	(140, 2.6917663711884812e-06)	(145, 0.0)	(150, 0.0)
SRR20736630_2	(1, 0.010980083091669432)	(2, 0.0008049144577160063)	(3, 0.0)	(4, 0.023648736730503966)	(5, 0.0)	(6, 3.06217456739785e-05)	(7, 0.0)	(8, 0.007165488487710968)	(9, 0.0)	(10, 1.22486982695914e-05)	(15, 0.00028434478125837176)	(20, 0.0007970402945426974)	(25, 0.00033946392347153305)	(30, 0.0003622115059722028)	(35, 0.0022905065764135916)	(40, 0.0013456069956165409)	(45, 0.0036133659895294626)	(50, 0.003804970626746643)	(55, 0.0001811057529861014)	(60, 0.0036964821563588326)	(65, 0.003239780692306925)	(70, 0.0025171074944010325)	(75, 0.0003219657830864025)	(80, 5.336932817464823e-05)	(85, 0.000595811680113696)	(90, 0.00026509683147342975)	(95, 0.0012073726795325116)	(100, 0.00019699627262914786)	(105, 0.00015257195944668885)	(110, 0.000281108031933767)	(115, 0.0)	(120, 0.0010515703799765248)	(125, 0.00028349982554572454)	(130, 0.00013073749850018744)	(135, 0.0006904148227507315)	(140, 0.0)	(145, 0.0012865687066331546)	(150, 0.0019107391217737077)
SRR20736631_1	(1, 0.0)	(2, 0.0)	(3, 0.005382200216362701)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.368669006787907e-06)	(9, 0.0)	(10, 0.00021493851513396502)	(15, 0.0)	(20, 0.0002332869249624742)	(25, 6.989870410860652e-05)	(30, 0.00010135312095747944)	(35, 2.2717078835297116e-05)	(40, 1.7474676027151626e-06)	(45, 0.0)	(50, 0.00023678186016790455)	(55, 0.00012581766739549173)	(60, 0.001546508828402919)	(65, 1.5727208424436466e-05)	(70, 3.407561825294567e-05)	(75, 0.00024027679537333486)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 2.7085811266399113e-05)	(100, 3.148870405719356e-05)	(105, 0.00020598550579044105)	(110, 2.0210077250647805e-05)	(115, 0.0)	(120, 8.842830006612049e-07)	(125, 3.7287538932407684e-05)	(130, 0.0)	(135, 1.8814402876947975e-05)	(140, 2.701091732658689e-06)	(145, 0.0)	(150, 0.0)
SRR20736631_2	(1, 0.010703239066630373)	(2, 0.0007426737311539441)	(3, 0.0)	(4, 0.024023310868326698)	(5, 0.0)	(6, 1.747467602715163e-05)	(7, 0.0)	(8, 0.00722140986822041)	(9, 0.0)	(10, 1.223227321900614e-05)	(15, 0.0002918270896534322)	(20, 0.0008248047084815569)	(25, 0.0003521147219471053)	(30, 0.0003870640740014085)	(35, 0.0024158739607537125)	(40, 0.0013673933991246148)	(45, 0.0038287015175489216)	(50, 0.0039003476892602433)	(55, 0.00019484263770274063)	(60, 0.0038164692443299155)	(65, 0.0033813498112538402)	(70, 0.002560913771779071)	(75, 0.00030318562907108074)	(80, 4.805535907466697e-05)	(85, 0.0005679269708824279)	(90, 0.0002769736222903898)	(95, 0.0012389574314759337)	(100, 0.00020992469371462373)	(105, 0.00015689959802761254)	(110, 0.0003330269251302399)	(115, 0.0)	(120, 0.0010779409778060088)	(125, 0.00029208572163719356)	(130, 0.0001471339877532089)	(135, 0.000723010624842715)	(140, 0.0)	(145, 0.0013783951896708484)	(150, 0.0020176769356447656)
SRR20736632_1	(1, 0.0)	(2, 0.0)	(3, 0.00522360697523936)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00020071002170870446)	(15, 0.0)	(20, 0.00022587025235025146)	(25, 7.147792795894034e-05)	(30, 0.00010521550995556016)	(35, 2.0585643252174816e-05)	(40, 1.715470271014568e-06)	(45, 0.0)	(50, 0.000239594014518368)	(55, 0.00012923209374976412)	(60, 0.0015605061231995854)	(65, 2.344476037053243e-05)	(70, 4.0027639657006584e-05)	(75, 0.00025388960011015605)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.9442010079229793e-05)	(100, 2.116712373828568e-05)	(105, 0.00020614414573273345)	(110, 1.3185791587212716e-05)	(115, 0.0)	(120, 1.7255787198457203e-06)	(125, 3.574030531536277e-05)	(130, 0.0)	(135, 1.1590127137957591e-05)	(140, 5.812388739254753e-07)	(145, 0.0)	(150, 0.0)
SRR20736632_2	(1, 0.01060160627487003)	(2, 0.000769102504838198)	(3, 0.0)	(4, 0.024168117001476905)	(5, 0.0)	(6, 8.57735135507284e-06)	(7, 0.0)	(8, 0.00724786189503655)	(9, 0.0)	(10, 8.005527931401317e-06)	(15, 0.00030077912085122095)	(20, 0.0008497296075758826)	(25, 0.0003396631136608845)	(30, 0.00039970457314639435)	(35, 0.0023822163830155636)	(40, 0.0013912463897928146)	(45, 0.00377060365569002)	(50, 0.0037728909493847064)	(55, 0.00018298349557488726)	(60, 0.0037654572448769766)	(65, 0.003330299619462948)	(70, 0.00258006728760591)	(75, 0.0002950608866145057)	(80, 3.945581623333506e-05)	(85, 0.0005998427714314273)	(90, 0.0002658978935277245)	(95, 0.0012288494017724948)	(100, 0.00022597334801683359)	(105, 0.00015918909031583306)	(110, 0.0003204720650979091)	(115, 0.0)	(120, 0.001080787471530036)	(125, 0.0002945692905830706)	(130, 0.0001566138436489671)	(135, 0.0007209059079809622)	(140, 0.0)	(145, 0.0013454142029888307)	(150, 0.0020215481845650123)
SRR20736633_1	(1, 0.0)	(2, 0.0)	(3, 0.005227782824854545)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00019660551854254585)	(15, 0.0)	(20, 0.00022426256396443302)	(25, 6.493393272964818e-05)	(30, 0.00010822322121608028)	(35, 2.0442164007481832e-05)	(40, 1.8037203536013381e-06)	(45, 0.0)	(50, 0.00022787000467163572)	(55, 0.00011664058286621987)	(60, 0.001546389583154214)	(65, 2.1644644243216058e-05)	(70, 3.908060766136233e-05)	(75, 0.0002495146489148518)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 1.803721210332285e-05)	(100, 2.2255503222040477e-05)	(105, 0.0002137137860935946)	(110, 1.6270750494874876e-05)	(115, 0.0)	(120, 1.8127428644911987e-06)	(125, 3.3897304580767946e-05)	(130, 0.0)	(135, 1.6412985236610962e-05)	(140, 4.2656322809010996e-06)	(145, 0.0)	(150, 0.0)
SRR20736633_2	(1, 0.010551764068567828)	(2, 0.000805661757941931)	(3, 0.0)	(4, 0.023947393894647097)	(5, 0.0)	(6, 9.01860176800669e-06)	(7, 0.0)	(8, 0.007217887614994688)	(9, 0.0)	(10, 1.1423562239475142e-05)	(15, 0.0002897977368119483)	(20, 0.0008333188033638183)	(25, 0.00031504982176236706)	(30, 0.000373370113195477)	(35, 0.002308762052609713)	(40, 0.0013563977059082063)	(45, 0.0036717733998144573)	(50, 0.003776990420441202)	(55, 0.00018999187724600764)	(60, 0.0037379098127798397)	(65, 0.003258721438839751)	(70, 0.002527012215395475)	(75, 0.00032226470317677246)	(80, 5.411161060804014e-05)	(85, 0.0005699756317380229)	(90, 0.0002525208540589574)	(95, 0.0012145056149570719)	(100, 0.00020872053021751474)	(105, 0.0001583288049087757)	(110, 0.00029347612929644685)	(115, 0.0)	(120, 0.0010266167089235155)	(125, 0.00027662621773948126)	(130, 0.00014738861045111406)	(135, 0.0007075820302005616)	(140, 0.0)	(145, 0.0013100119631442788)	(150, 0.0018824397692734896)
SRR20736634_1	(1, 0.0)	(2, 0.0)	(3, 0.005056947927617373)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 3.1724892895968462e-06)	(9, 0.0)	(10, 0.00018590787237037518)	(15, 0.0)	(20, 0.00023222621599848912)	(25, 5.710480721274323e-05)	(30, 0.0001072301379883734)	(35, 2.0303931453419815e-05)	(40, 4.4414850054355845e-06)	(45, 0.0)	(50, 0.00022397774384553732)	(55, 0.00010278865298293781)	(60, 0.0015868791426563425)	(65, 1.7131442163822967e-05)	(70, 2.7917905748452244e-05)	(75, 0.00023793669671976346)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 2.5379948939349725e-05)	(100, 2.603568080831924e-05)	(105, 0.00019463729968911847)	(110, 1.8483548023355353e-05)	(115, 0.0)	(120, 3.845204006817932e-06)	(125, 3.7301512621999015e-05)	(130, 0.0)	(135, 1.361601291358226e-05)	(140, 3.90752337944504e-06)	(145, 0.0)	(150, 0.0)
SRR20736634_2	(1, 0.010535836930751127)	(2, 0.0008407096617431642)	(3, 0.0)	(4, 0.024399615126289343)	(5, 0.0)	(6, 1.586244644798423e-05)	(7, 0.0)	(8, 0.007563214466398881)	(9, 0.0)	(10, 1.0151965726709908e-05)	(15, 0.0002994829889379423)	(20, 0.0008686275674916164)	(25, 0.00034009085184478187)	(30, 0.00038704369333081523)	(35, 0.00234383508715415)	(40, 0.0014396756396190488)	(45, 0.003746075353155956)	(50, 0.003790490203210312)	(55, 0.00019034935737581075)	(60, 0.003813332126095409)	(65, 0.003330479256218769)	(70, 0.0025792337924422357)	(75, 0.00031344194181216837)	(80, 5.520131363898512e-05)	(85, 0.0006332288622035305)	(90, 0.0002747375794519031)	(95, 0.0012651904546265838)	(100, 0.00020765042986147295)	(105, 0.00015392884485217862)	(110, 0.0002982862232734588)	(115, 0.0)	(120, 0.0010708893158987939)	(125, 0.00029969836003192315)	(130, 0.00015173229206671263)	(135, 0.0007281325000929942)	(140, 0.0)	(145, 0.001339048309410565)	(150, 0.002074669009174462)
