Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR20736630_1	(1, 31.695562541590892)	(2, 31.634488126024408)	(3, 35.787328564156844)	(4, 36.25387601307671)	(5, 36.43011553322171)	(6, 39.95294789421254)	(7, 40.009219113988664)	(8, 40.09800927156466)	(9, 40.136345903589095)	(10, 40.12664703433643)	(15, 40.08888477002107)	(20, 40.052952627459526)	(25, 39.98322753374386)	(30, 39.87902315056467)	(35, 39.890937844330594)	(40, 39.8502903203962)	(45, 39.82573060423004)	(50, 39.778994943562374)	(55, 39.76429465958505)	(60, 39.721562625931924)	(65, 39.6507419299014)	(70, 39.6289352924018)	(75, 39.334945081211494)	(80, 39.506824484727886)	(85, 39.449915099022846)	(90, 39.40522579178672)	(95, 39.36782053230851)	(100, 39.26751534759037)	(105, 39.211072916318926)	(110, 39.12955808386545)	(115, 38.97996434745154)	(120, 38.840778494509735)	(125, 38.66122606684347)	(130, 38.530101777747774)	(135, 38.29313758230531)	(140, 38.03598723341794)	(145, 37.73563404612534)	(150, 37.4932364352203)
SRR20736630_2	(1, 31.40208088760367)	(2, 31.29946938639096)	(3, 35.25021155251726)	(4, 35.807526011423136)	(5, 36.043757205952936)	(6, 39.29104862505737)	(7, 39.32034029333533)	(8, 39.297789783640745)	(9, 39.426880170809845)	(10, 39.47960493748526)	(15, 39.40470554741795)	(20, 39.342018756956605)	(25, 39.378183948500876)	(30, 39.317347787613876)	(35, 39.259170950357245)	(40, 39.18240537486878)	(45, 39.12439804209807)	(50, 39.02996791016035)	(55, 38.89520178243057)	(60, 38.887787225412616)	(65, 38.81205382148012)	(70, 38.726498728847595)	(75, 38.27916800017078)	(80, 38.60160831532629)	(85, 38.51201632296528)	(90, 38.407274438819194)	(95, 38.22037576288166)	(100, 38.035046068136566)	(105, 37.841372810356894)	(110, 37.53839111402282)	(115, 37.251958690072286)	(120, 36.865521266220554)	(125, 36.43297513738431)	(130, 35.977438415978256)	(135, 35.425642138554764)	(140, 34.976288745204414)	(145, 34.663339425270095)	(150, 34.4189380897939)
SRR20736631_1	(1, 31.679892331531125)	(2, 31.624019894569162)	(3, 35.76866726805764)	(4, 36.232394056390866)	(5, 36.40935271746721)	(6, 39.92256276433997)	(7, 39.97703700878631)	(8, 40.07152603331364)	(9, 40.108082400262084)	(10, 40.09734816112018)	(15, 40.06160347539852)	(20, 40.02612582893856)	(25, 39.95502820478241)	(30, 39.849123000618555)	(35, 39.86413947901961)	(40, 39.82179222286922)	(45, 39.79857414507223)	(50, 39.753685118657636)	(55, 39.73977923455415)	(60, 39.69683365423392)	(65, 39.62445512758764)	(70, 39.60506222142364)	(75, 39.3073086216076)	(80, 39.48364791026684)	(85, 39.429361911768)	(90, 39.38543192334144)	(95, 39.34969225405799)	(100, 39.25508119334183)	(105, 39.19595919552843)	(110, 39.12143933027793)	(115, 38.972677825871465)	(120, 38.835639060947365)	(125, 38.65959667418813)	(130, 38.53167896630809)	(135, 38.29747861640083)	(140, 38.04403293650087)	(145, 37.7485369887947)	(150, 37.512412861860724)
SRR20736631_2	(1, 31.43413154595357)	(2, 31.23483089996285)	(3, 35.23081203028344)	(4, 35.75719164831061)	(5, 36.026636954475016)	(6, 39.24401165788062)	(7, 39.25023198724593)	(8, 39.22788270665432)	(9, 39.400951504847015)	(10, 39.454012353809595)	(15, 39.33537917229187)	(20, 39.27457520700828)	(25, 39.30600514183605)	(30, 39.23950611847384)	(35, 39.18491453157799)	(40, 39.10168063133558)	(45, 39.03627719152424)	(50, 38.94137066203727)	(55, 38.80878671271069)	(60, 38.79634255904485)	(65, 38.721115354399316)	(70, 38.63316285476268)	(75, 38.18547085536399)	(80, 38.50933159495256)	(85, 38.42190141338238)	(90, 38.317743361563984)	(95, 38.1292405093781)	(100, 37.94316495497007)	(105, 37.746536060343814)	(110, 37.442249181162126)	(115, 37.14870490429658)	(120, 36.75961208190937)	(125, 36.315257617087376)	(130, 35.85494841506831)	(135, 35.294103552256836)	(140, 34.84209615831868)	(145, 34.52647021834131)	(150, 34.27930280148321)
SRR20736632_1	(1, 31.674871922989567)	(2, 31.620087665105437)	(3, 35.762639156089264)	(4, 36.23028578705433)	(5, 36.408671679347044)	(6, 39.91920926998963)	(7, 39.96923015298106)	(8, 40.06401197261012)	(9, 40.10286497259022)	(10, 40.09291153960255)	(15, 40.057445678490225)	(20, 40.02141741188601)	(25, 39.95008321746285)	(30, 39.84552867248448)	(35, 39.85467876789893)	(40, 39.814470037481875)	(45, 39.79290726808157)	(50, 39.748142586000526)	(55, 39.73403391804947)	(60, 39.691466770540295)	(65, 39.618907758934796)	(70, 39.59943080696407)	(75, 39.30106969292396)	(80, 39.47818232315389)	(85, 39.422341644367464)	(90, 39.376646842200934)	(95, 39.33966842996178)	(100, 39.24148538902424)	(105, 39.18315461625232)	(110, 39.105192684580175)	(115, 38.95497870385445)	(120, 38.81636275462283)	(125, 38.63617838344636)	(130, 38.507504776909954)	(135, 38.268973876895494)	(140, 38.01129057538624)	(145, 37.711702715677326)	(150, 37.46786410288395)
SRR20736632_2	(1, 31.329155486565696)	(2, 31.214985364751296)	(3, 35.15040954565427)	(4, 35.65337670880853)	(5, 35.93121867694241)	(6, 39.135591570773784)	(7, 39.10892212657014)	(8, 39.183148981273696)	(9, 39.266917395989324)	(10, 39.344073976567586)	(15, 39.26903597890109)	(20, 39.18978467760252)	(25, 39.22879283043217)	(30, 39.159910786396736)	(35, 39.09676001417207)	(40, 39.01924632986572)	(45, 38.95602241570694)	(50, 38.85750577141382)	(55, 38.71815774961408)	(60, 38.70788312340933)	(65, 38.630282270340274)	(70, 38.54055094958141)	(75, 38.08200652953731)	(80, 38.41484259759711)	(85, 38.32382154626086)	(90, 38.21769169181888)	(95, 38.02401214157093)	(100, 37.832279675174355)	(105, 37.63014316747401)	(110, 37.32342466150882)	(115, 37.02217759604478)	(120, 36.62540919476749)	(125, 36.17626412734236)	(130, 35.70951000597452)	(135, 35.14230852420373)	(140, 34.685540247951636)	(145, 34.36805011518803)	(150, 34.116650195333555)
SRR20736633_1	(1, 31.68128937746997)	(2, 31.61550453966351)	(3, 35.76158649831142)	(4, 36.23279325937679)	(5, 36.411878220016604)	(6, 39.922133692955086)	(7, 39.97047045235503)	(8, 40.06562202198254)	(9, 40.104916671125864)	(10, 40.09640938199129)	(15, 40.06010735743545)	(20, 40.02440547272805)	(25, 39.950371578417645)	(30, 39.841479086764366)	(35, 39.85122430525202)	(40, 39.8125581324039)	(45, 39.79014149584934)	(50, 39.74354952925905)	(55, 39.72854401288097)	(60, 39.68361695833827)	(65, 39.61008446822416)	(70, 39.588627777654196)	(75, 39.28765930007233)	(80, 39.464065477453794)	(85, 39.40549765546417)	(90, 39.358981475726594)	(95, 39.31970068910269)	(100, 39.221284806797186)	(105, 39.15977599451749)	(110, 39.07939000581103)	(115, 38.92337023976966)	(120, 38.78137830075413)	(125, 38.60299428480285)	(130, 38.465389378582316)	(135, 38.22419316650049)	(140, 37.96113172647687)	(145, 37.65375163810118)	(150, 37.406237481010315)
SRR20736633_2	(1, 31.380500189691258)	(2, 31.2389726549982)	(3, 35.060265754144496)	(4, 35.64628126974698)	(5, 35.88994281605239)	(6, 39.07800795921668)	(7, 39.26623071747787)	(8, 39.04670896190483)	(9, 39.27671601445141)	(10, 39.28744602216531)	(15, 39.19241563849596)	(20, 39.13487788512586)	(25, 39.16465016543122)	(30, 39.0961248150435)	(35, 39.039538920978416)	(40, 38.95273612352839)	(45, 38.886801053853674)	(50, 38.78852133410372)	(55, 38.646042553370584)	(60, 38.63012148657822)	(65, 38.54943344542454)	(70, 38.45810932830055)	(75, 37.990299543839114)	(80, 38.32780075984726)	(85, 38.23360955106001)	(90, 38.125143027989125)	(95, 37.92696734125563)	(100, 37.73041866642343)	(105, 37.523504238647156)	(110, 37.20549664398905)	(115, 36.90284517818254)	(120, 36.49798789828495)	(125, 36.040896718070606)	(130, 35.56920380885537)	(135, 35.001630176456175)	(140, 34.53874248884223)	(145, 34.21456838916194)	(150, 33.96079205474514)
SRR20736634_1	(1, 31.675417544798485)	(2, 31.616895903869008)	(3, 35.75567768511324)	(4, 36.22773060832577)	(5, 36.409918768728986)	(6, 39.91725982963288)	(7, 39.970542802448236)	(8, 40.06329798217943)	(9, 40.10222515543532)	(10, 40.093324121270435)	(15, 40.05725182036643)	(20, 40.020041198580415)	(25, 39.94777468435397)	(30, 39.8407045286555)	(35, 39.852767157781756)	(40, 39.811257425964655)	(45, 39.78805192311701)	(50, 39.74227182402177)	(55, 39.72793679157719)	(60, 39.68243381576637)	(65, 39.60964588389025)	(70, 39.58880038948016)	(75, 39.2854042555581)	(80, 39.46306648563597)	(85, 39.40484890242499)	(90, 39.356604378386294)	(95, 39.317369001057195)	(100, 39.21865458182792)	(105, 39.15467293310182)	(110, 39.07424309141986)	(115, 38.9192778257338)	(120, 38.77287099482388)	(125, 38.59179594561412)	(130, 38.45292099452049)	(135, 38.20935322226845)	(140, 37.9442789650781)	(145, 37.63337092907348)	(150, 37.38621772795819)
SRR20736634_2	(1, 31.309849129416595)	(2, 31.19641639416834)	(3, 35.065496453807334)	(4, 35.648881385035224)	(5, 35.91675746595388)	(6, 39.12445681828067)	(7, 39.161197258119024)	(8, 39.126810614984194)	(9, 39.30901244881625)	(10, 39.3571634697122)	(15, 39.25979252744894)	(20, 39.17321292171384)	(25, 39.204229505616084)	(30, 39.13596445847559)	(35, 39.07166858248007)	(40, 38.99085521713802)	(45, 38.928823978207035)	(50, 38.83090639065925)	(55, 38.688833627650446)	(60, 38.67361102787733)	(65, 38.59351623770434)	(70, 38.50233513294903)	(75, 38.04516822108595)	(80, 38.37357960437092)	(85, 38.27938118312214)	(90, 38.17013576960493)	(95, 37.97111398576796)	(100, 37.77474118367882)	(105, 37.56641918524793)	(110, 37.252892796452215)	(115, 36.94350074896877)	(120, 36.538459018708416)	(125, 36.07659514285503)	(130, 35.59729304066125)	(135, 35.02719861037203)	(140, 34.56167897794628)	(145, 34.23158189392956)	(150, 33.978306303804764)
