Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
SRR20736630_1	(0.0, 2651.0)	(1.0, 3281.0)	(2.0, 3617.5)	(3.0, 3362.0)	(4.0, 3049.0)	(5.0, 2372.5)	(6.0, 1866.0)	(7.0, 1619.0)	(8.0, 1506.5)	(9.0, 1430.5)	(10.0, 1346.0)	(11.0, 1273.0)	(12.0, 1224.5)	(13.0, 1236.5)	(14.0, 1342.0)	(15.0, 1533.5)	(16.0, 2094.0)	(17.0, 3194.0)	(18.0, 5021.5)	(19.0, 8095.5)	(20.0, 13062.0)	(21.0, 20623.0)	(22.0, 30935.0)	(23.0, 45279.5)	(24.0, 63769.0)	(25.0, 86966.5)	(26.0, 115728.0)	(27.0, 147156.5)	(28.0, 181123.0)	(29.0, 218663.0)	(30.0, 257021.0)	(31.0, 297817.0)	(32.0, 339875.0)	(33.0, 379912.5)	(34.0, 416716.0)	(35.0, 454665.0)	(36.0, 499472.0)	(37.0, 547109.0)	(38.0, 590430.5)	(39.0, 627630.0)	(40.0, 660469.0)	(41.0, 687629.0)	(42.0, 715673.5)	(43.0, 739903.0)	(44.0, 745284.5)	(45.0, 752269.0)	(46.0, 756379.5)	(47.0, 745246.0)	(48.0, 730653.0)	(49.0, 716057.0)	(50.0, 707528.5)	(51.0, 696904.0)	(52.0, 678013.5)	(53.0, 654553.0)	(54.0, 630420.5)	(55.0, 610815.5)	(56.0, 583765.5)	(57.0, 548289.5)	(58.0, 525367.5)	(59.0, 508930.0)	(60.0, 480783.0)	(61.0, 447814.5)	(62.0, 414470.5)	(63.0, 380411.0)	(64.0, 346347.5)	(65.0, 306204.5)	(66.0, 265832.0)	(67.0, 231659.5)	(68.0, 202208.5)	(69.0, 172917.0)	(70.0, 143566.0)	(71.0, 117063.0)	(72.0, 97406.0)	(73.0, 81957.5)	(74.0, 69230.5)	(75.0, 58964.0)	(76.0, 50038.5)	(77.0, 44478.0)	(78.0, 39375.0)	(79.0, 33218.5)	(80.0, 26665.5)	(81.0, 20208.5)	(82.0, 15499.0)	(83.0, 11880.5)	(84.0, 8869.5)	(85.0, 6220.0)	(86.0, 3947.5)	(87.0, 2231.5)	(88.0, 1118.5)	(89.0, 575.5)	(90.0, 285.0)	(91.0, 138.0)	(92.0, 47.0)	(93.0, 19.0)	(94.0, 12.0)	(95.0, 7.5)	(96.0, 4.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.5)	(100.0, 1.5)
SRR20736630_2	(0.0, 2575.0)	(1.0, 2942.5)	(2.0, 3173.5)	(3.0, 3018.5)	(4.0, 2755.0)	(5.0, 2212.0)	(6.0, 1760.0)	(7.0, 1524.0)	(8.0, 1409.5)	(9.0, 1312.5)	(10.0, 1229.0)	(11.0, 1191.0)	(12.0, 1213.0)	(13.0, 1262.5)	(14.0, 1370.5)	(15.0, 1644.0)	(16.0, 2201.5)	(17.0, 3278.0)	(18.0, 5040.0)	(19.0, 8055.5)	(20.0, 12842.0)	(21.0, 19920.5)	(22.0, 30499.5)	(23.0, 44582.5)	(24.0, 62528.5)	(25.0, 86085.0)	(26.0, 115037.0)	(27.0, 145837.0)	(28.0, 178922.5)	(29.0, 216334.0)	(30.0, 254749.0)	(31.0, 296107.0)	(32.0, 338271.5)	(33.0, 377965.0)	(34.0, 415943.5)	(35.0, 454741.0)	(36.0, 498294.5)	(37.0, 545121.0)	(38.0, 588569.5)	(39.0, 626721.5)	(40.0, 658518.0)	(41.0, 686143.5)	(42.0, 715478.0)	(43.0, 740116.5)	(44.0, 746371.0)	(45.0, 752068.5)	(46.0, 755981.5)	(47.0, 744600.5)	(48.0, 731476.5)	(49.0, 718017.0)	(50.0, 708475.0)	(51.0, 697810.0)	(52.0, 678554.0)	(53.0, 654647.0)	(54.0, 629680.0)	(55.0, 609648.5)	(56.0, 584277.5)	(57.0, 549898.5)	(58.0, 525879.0)	(59.0, 508628.5)	(60.0, 481572.5)	(61.0, 450231.5)	(62.0, 416398.0)	(63.0, 381424.0)	(64.0, 346806.0)	(65.0, 307079.5)	(66.0, 267659.5)	(67.0, 232598.5)	(68.0, 202446.5)	(69.0, 173798.0)	(70.0, 144984.5)	(71.0, 118794.5)	(72.0, 99063.0)	(73.0, 83537.5)	(74.0, 70588.5)	(75.0, 59676.5)	(76.0, 50688.5)	(77.0, 44606.0)	(78.0, 39187.0)	(79.0, 32920.0)	(80.0, 26641.5)	(81.0, 20524.5)	(82.0, 15676.0)	(83.0, 12116.5)	(84.0, 9000.5)	(85.0, 6205.0)	(86.0, 4049.0)	(87.0, 2484.0)	(88.0, 1409.5)	(89.0, 826.0)	(90.0, 490.0)	(91.0, 303.0)	(92.0, 195.0)	(93.0, 150.5)	(94.0, 127.5)	(95.0, 125.0)	(96.0, 129.5)	(97.0, 128.0)	(98.0, 144.0)	(99.0, 273.0)	(100.0, 742.0)
SRR20736631_1	(0.0, 1906.0)	(1.0, 2216.0)	(2.0, 2383.0)	(3.0, 2231.5)	(4.0, 2002.5)	(5.0, 1588.0)	(6.0, 1334.5)	(7.0, 1197.0)	(8.0, 1048.5)	(9.0, 986.0)	(10.0, 963.0)	(11.0, 934.0)	(12.0, 929.5)	(13.0, 939.5)	(14.0, 1006.0)	(15.0, 1170.0)	(16.0, 1512.0)	(17.0, 2316.5)	(18.0, 3927.0)	(19.0, 6540.5)	(20.0, 10565.5)	(21.0, 16673.5)	(22.0, 25789.0)	(23.0, 37894.0)	(24.0, 53251.5)	(25.0, 73353.5)	(26.0, 98453.5)	(27.0, 125812.5)	(28.0, 155017.0)	(29.0, 187491.0)	(30.0, 222088.5)	(31.0, 259960.0)	(32.0, 298570.0)	(33.0, 336603.5)	(34.0, 372769.5)	(35.0, 409931.5)	(36.0, 453748.5)	(37.0, 500384.5)	(38.0, 544112.0)	(39.0, 584533.0)	(40.0, 618765.0)	(41.0, 647774.0)	(42.0, 680590.5)	(43.0, 710853.5)	(44.0, 721982.0)	(45.0, 732625.5)	(46.0, 741709.5)	(47.0, 736158.0)	(48.0, 727227.0)	(49.0, 718389.5)	(50.0, 715110.0)	(51.0, 709749.0)	(52.0, 695008.5)	(53.0, 676501.5)	(54.0, 657163.0)	(55.0, 641361.5)	(56.0, 618315.0)	(57.0, 585902.0)	(58.0, 564887.0)	(59.0, 549958.5)	(60.0, 524732.0)	(61.0, 494213.0)	(62.0, 461357.5)	(63.0, 426728.0)	(64.0, 391484.0)	(65.0, 348258.5)	(66.0, 304185.0)	(67.0, 266451.0)	(68.0, 232418.0)	(69.0, 200272.5)	(70.0, 167938.0)	(71.0, 137162.5)	(72.0, 115098.5)	(73.0, 97505.0)	(74.0, 82658.0)	(75.0, 70372.0)	(76.0, 59773.5)	(77.0, 53416.5)	(78.0, 47288.5)	(79.0, 39856.0)	(80.0, 32093.5)	(81.0, 24513.0)	(82.0, 18820.5)	(83.0, 14347.0)	(84.0, 10373.0)	(85.0, 6988.0)	(86.0, 4305.5)	(87.0, 2366.5)	(88.0, 1137.0)	(89.0, 528.5)	(90.0, 236.5)	(91.0, 99.5)	(92.0, 38.5)	(93.0, 19.5)	(94.0, 11.0)	(95.0, 6.5)	(96.0, 2.5)	(97.0, 1.5)	(98.0, 1.5)	(99.0, 0.0)	(100.0, 1.5)
SRR20736631_2	(0.0, 1983.0)	(1.0, 2024.5)	(2.0, 1993.5)	(3.0, 1922.5)	(4.0, 1787.0)	(5.0, 1494.5)	(6.0, 1268.0)	(7.0, 1134.5)	(8.0, 1053.5)	(9.0, 1010.5)	(10.0, 973.0)	(11.0, 984.0)	(12.0, 994.0)	(13.0, 988.5)	(14.0, 1023.5)	(15.0, 1221.5)	(16.0, 1628.0)	(17.0, 2443.0)	(18.0, 3907.0)	(19.0, 6327.0)	(20.0, 10261.5)	(21.0, 16318.0)	(22.0, 25155.5)	(23.0, 37161.0)	(24.0, 52342.5)	(25.0, 72359.5)	(26.0, 97257.0)	(27.0, 124140.0)	(28.0, 154017.5)	(29.0, 186314.5)	(30.0, 220302.0)	(31.0, 258282.5)	(32.0, 297330.5)	(33.0, 335725.5)	(34.0, 371267.5)	(35.0, 408530.0)	(36.0, 452289.5)	(37.0, 500102.0)	(38.0, 544079.0)	(39.0, 582734.5)	(40.0, 618134.5)	(41.0, 647596.0)	(42.0, 680175.5)	(43.0, 710562.0)	(44.0, 720963.5)	(45.0, 731682.0)	(46.0, 741067.0)	(47.0, 735294.0)	(48.0, 726757.0)	(49.0, 718222.5)	(50.0, 714346.5)	(51.0, 708401.5)	(52.0, 694496.5)	(53.0, 676281.0)	(54.0, 658015.5)	(55.0, 643062.5)	(56.0, 619753.0)	(57.0, 586981.5)	(58.0, 566040.0)	(59.0, 551085.5)	(60.0, 524818.0)	(61.0, 494323.0)	(62.0, 461136.5)	(63.0, 426619.5)	(64.0, 391993.5)	(65.0, 349751.5)	(66.0, 306241.0)	(67.0, 268163.5)	(68.0, 234322.0)	(69.0, 201954.0)	(70.0, 169331.5)	(71.0, 139266.5)	(72.0, 116592.0)	(73.0, 98634.5)	(74.0, 83668.5)	(75.0, 71287.0)	(76.0, 60668.5)	(77.0, 53507.0)	(78.0, 46906.5)	(79.0, 39741.0)	(80.0, 32340.5)	(81.0, 24776.5)	(82.0, 18944.0)	(83.0, 14503.5)	(84.0, 10708.0)	(85.0, 7246.5)	(86.0, 4523.0)	(87.0, 2620.5)	(88.0, 1424.0)	(89.0, 779.5)	(90.0, 420.0)	(91.0, 248.5)	(92.0, 181.5)	(93.0, 135.5)	(94.0, 126.5)	(95.0, 136.0)	(96.0, 135.5)	(97.0, 159.0)	(98.0, 192.5)	(99.0, 296.5)	(100.0, 791.5)
SRR20736632_1	(0.0, 2489.0)	(1.0, 2830.0)	(2.0, 2921.5)	(3.0, 2749.5)	(4.0, 2604.5)	(5.0, 2134.5)	(6.0, 1730.5)	(7.0, 1547.5)	(8.0, 1426.5)	(9.0, 1317.0)	(10.0, 1278.0)	(11.0, 1214.5)	(12.0, 1164.5)	(13.0, 1192.0)	(14.0, 1301.0)	(15.0, 1499.0)	(16.0, 1986.5)	(17.0, 3163.0)	(18.0, 5249.0)	(19.0, 8785.0)	(20.0, 14569.0)	(21.0, 23443.0)	(22.0, 36759.0)	(23.0, 55392.0)	(24.0, 79247.0)	(25.0, 110122.5)	(26.0, 148727.0)	(27.0, 191902.0)	(28.0, 238269.0)	(29.0, 289931.0)	(30.0, 346228.5)	(31.0, 406985.0)	(32.0, 469340.5)	(33.0, 530984.0)	(34.0, 588840.0)	(35.0, 649471.5)	(36.0, 719407.5)	(37.0, 792793.5)	(38.0, 860831.0)	(39.0, 921841.5)	(40.0, 975992.0)	(41.0, 1021413.0)	(42.0, 1069616.5)	(43.0, 1114919.5)	(44.0, 1131078.5)	(45.0, 1144213.5)	(46.0, 1150954.0)	(47.0, 1136290.0)	(48.0, 1120433.0)	(49.0, 1102603.0)	(50.0, 1092605.5)	(51.0, 1079665.0)	(52.0, 1055060.5)	(53.0, 1026092.5)	(54.0, 993317.5)	(55.0, 967104.0)	(56.0, 931176.0)	(57.0, 879509.5)	(58.0, 846127.0)	(59.0, 823144.5)	(60.0, 782691.5)	(61.0, 734731.0)	(62.0, 683232.0)	(63.0, 630372.0)	(64.0, 578157.5)	(65.0, 513644.5)	(66.0, 447939.0)	(67.0, 392350.5)	(68.0, 342579.5)	(69.0, 294542.5)	(70.0, 246002.0)	(71.0, 201100.0)	(72.0, 167946.5)	(73.0, 140994.5)	(74.0, 118954.0)	(75.0, 100871.0)	(76.0, 85187.5)	(77.0, 74704.0)	(78.0, 64750.0)	(79.0, 53880.0)	(80.0, 42583.0)	(81.0, 31464.0)	(82.0, 23103.0)	(83.0, 16443.5)	(84.0, 10980.5)	(85.0, 6574.5)	(86.0, 3512.0)	(87.0, 1671.5)	(88.0, 663.5)	(89.0, 243.5)	(90.0, 103.5)	(91.0, 48.5)	(92.0, 30.0)	(93.0, 18.0)	(94.0, 11.0)	(95.0, 7.0)	(96.0, 3.0)	(97.0, 3.0)	(98.0, 1.5)	(99.0, 0.0)	(100.0, 1.5)
SRR20736632_2	(0.0, 2220.0)	(1.0, 2348.5)	(2.0, 2448.5)	(3.0, 2434.5)	(4.0, 2288.5)	(5.0, 1897.5)	(6.0, 1574.0)	(7.0, 1418.5)	(8.0, 1315.0)	(9.0, 1248.0)	(10.0, 1217.0)	(11.0, 1220.0)	(12.0, 1236.0)	(13.0, 1230.5)	(14.0, 1315.0)	(15.0, 1563.0)	(16.0, 2086.5)	(17.0, 3174.5)	(18.0, 5185.0)	(19.0, 8744.0)	(20.0, 14423.0)	(21.0, 23261.5)	(22.0, 36207.0)	(23.0, 54076.5)	(24.0, 77653.5)	(25.0, 108332.0)	(26.0, 145967.0)	(27.0, 188443.5)	(28.0, 235903.5)	(29.0, 288232.5)	(30.0, 344003.5)	(31.0, 404254.5)	(32.0, 466021.0)	(33.0, 526875.5)	(34.0, 584904.5)	(35.0, 646107.5)	(36.0, 715139.0)	(37.0, 787694.0)	(38.0, 856706.0)	(39.0, 918209.0)	(40.0, 972156.5)	(41.0, 1018790.0)	(42.0, 1067121.5)	(43.0, 1110254.5)	(44.0, 1126920.0)	(45.0, 1142140.0)	(46.0, 1150835.0)	(47.0, 1136800.0)	(48.0, 1120735.5)	(49.0, 1103879.0)	(50.0, 1093049.5)	(51.0, 1079703.0)	(52.0, 1054943.0)	(53.0, 1026962.0)	(54.0, 994841.5)	(55.0, 968011.5)	(56.0, 932494.0)	(57.0, 882839.0)	(58.0, 848880.0)	(59.0, 823694.0)	(60.0, 784548.0)	(61.0, 737109.5)	(62.0, 686295.5)	(63.0, 633677.5)	(64.0, 581132.0)	(65.0, 517596.0)	(66.0, 452439.5)	(67.0, 396744.5)	(68.0, 346295.0)	(69.0, 297477.0)	(70.0, 248818.0)	(71.0, 203902.0)	(72.0, 170848.5)	(73.0, 143573.0)	(74.0, 120810.0)	(75.0, 102614.0)	(76.0, 86743.5)	(77.0, 75559.0)	(78.0, 65165.0)	(79.0, 54434.0)	(80.0, 43313.5)	(81.0, 32237.5)	(82.0, 23685.5)	(83.0, 16979.0)	(84.0, 11428.0)	(85.0, 7092.5)	(86.0, 4060.5)	(87.0, 2116.0)	(88.0, 1080.0)	(89.0, 621.0)	(90.0, 385.5)	(91.0, 283.5)	(92.0, 234.0)	(93.0, 220.5)	(94.0, 213.0)	(95.0, 208.5)	(96.0, 221.5)	(97.0, 237.5)	(98.0, 283.0)	(99.0, 472.5)	(100.0, 1237.0)
SRR20736633_1	(0.0, 1903.0)	(1.0, 2166.0)	(2.0, 2313.5)	(3.0, 2176.0)	(4.0, 2012.0)	(5.0, 1655.5)	(6.0, 1311.5)	(7.0, 1181.0)	(8.0, 1126.5)	(9.0, 1036.0)	(10.0, 998.0)	(11.0, 1002.0)	(12.0, 990.0)	(13.0, 1016.0)	(14.0, 1136.0)	(15.0, 1367.5)	(16.0, 1922.0)	(17.0, 3197.5)	(18.0, 5595.5)	(19.0, 9630.0)	(20.0, 16158.5)	(21.0, 25984.5)	(22.0, 40036.0)	(23.0, 59406.5)	(24.0, 85078.5)	(25.0, 118504.0)	(26.0, 159437.0)	(27.0, 204772.0)	(28.0, 253770.5)	(29.0, 307767.0)	(30.0, 366001.5)	(31.0, 428732.0)	(32.0, 491865.5)	(33.0, 552486.0)	(34.0, 608488.0)	(35.0, 665267.5)	(36.0, 732906.0)	(37.0, 805507.5)	(38.0, 868756.5)	(39.0, 925000.0)	(40.0, 969229.5)	(41.0, 1000199.5)	(42.0, 1041755.5)	(43.0, 1080436.5)	(44.0, 1086806.0)	(45.0, 1098107.5)	(46.0, 1106569.0)	(47.0, 1092793.0)	(48.0, 1078230.5)	(49.0, 1061799.0)	(50.0, 1047905.5)	(51.0, 1026096.0)	(52.0, 991747.0)	(53.0, 951003.0)	(54.0, 910586.0)	(55.0, 883474.0)	(56.0, 851302.0)	(57.0, 800505.0)	(58.0, 767353.5)	(59.0, 750171.0)	(60.0, 710333.5)	(61.0, 658243.5)	(62.0, 605132.0)	(63.0, 552819.0)	(64.0, 506386.5)	(65.0, 450189.5)	(66.0, 390101.0)	(67.0, 337535.5)	(68.0, 291383.0)	(69.0, 246991.0)	(70.0, 203609.0)	(71.0, 165938.5)	(72.0, 139668.5)	(73.0, 117533.0)	(74.0, 98512.5)	(75.0, 83679.0)	(76.0, 70785.0)	(77.0, 62406.0)	(78.0, 54278.5)	(79.0, 44856.0)	(80.0, 35186.5)	(81.0, 26219.0)	(82.0, 19567.5)	(83.0, 14687.5)	(84.0, 10174.5)	(85.0, 6287.5)	(86.0, 3731.5)	(87.0, 1999.0)	(88.0, 897.0)	(89.0, 377.5)	(90.0, 158.5)	(91.0, 61.0)	(92.0, 26.5)	(93.0, 16.0)	(94.0, 10.5)	(95.0, 6.0)	(96.0, 5.5)	(97.0, 3.5)	(98.0, 2.0)	(99.0, 2.0)	(100.0, 2.5)
SRR20736633_2	(0.0, 1849.0)	(1.0, 1930.0)	(2.0, 1973.0)	(3.0, 2013.0)	(4.0, 1852.5)	(5.0, 1450.5)	(6.0, 1230.5)	(7.0, 1118.5)	(8.0, 1067.5)	(9.0, 1043.0)	(10.0, 1005.0)	(11.0, 976.0)	(12.0, 953.0)	(13.0, 999.0)	(14.0, 1147.5)	(15.0, 1467.5)	(16.0, 2046.5)	(17.0, 3268.5)	(18.0, 5587.5)	(19.0, 9476.0)	(20.0, 15754.0)	(21.0, 25397.5)	(22.0, 39285.5)	(23.0, 58618.0)	(24.0, 83991.0)	(25.0, 116503.0)	(26.0, 156551.5)	(27.0, 201679.0)	(28.0, 251406.0)	(29.0, 306427.0)	(30.0, 363705.5)	(31.0, 425956.5)	(32.0, 489862.0)	(33.0, 550230.0)	(34.0, 605589.0)	(35.0, 664018.0)	(36.0, 731681.5)	(37.0, 802480.0)	(38.0, 865842.5)	(39.0, 920143.0)	(40.0, 964804.5)	(41.0, 998975.5)	(42.0, 1040741.5)	(43.0, 1077915.0)	(44.0, 1087506.5)	(45.0, 1099433.0)	(46.0, 1104891.0)	(47.0, 1091077.5)	(48.0, 1077774.0)	(49.0, 1060615.5)	(50.0, 1044819.0)	(51.0, 1024722.0)	(52.0, 990471.0)	(53.0, 949733.0)	(54.0, 911787.0)	(55.0, 884047.0)	(56.0, 850095.0)	(57.0, 801865.0)	(58.0, 769184.5)	(59.0, 749981.5)	(60.0, 710747.5)	(61.0, 660692.0)	(62.0, 609002.5)	(63.0, 555502.0)	(64.0, 507667.5)	(65.0, 452107.5)	(66.0, 393151.0)	(67.0, 340863.5)	(68.0, 294872.5)	(69.0, 250202.0)	(70.0, 207001.5)	(71.0, 170118.5)	(72.0, 143485.0)	(73.0, 120856.0)	(74.0, 101086.5)	(75.0, 85237.5)	(76.0, 72113.0)	(77.0, 63241.0)	(78.0, 54775.0)	(79.0, 45339.5)	(80.0, 35763.5)	(81.0, 27010.0)	(82.0, 20264.5)	(83.0, 15208.5)	(84.0, 10789.5)	(85.0, 6944.5)	(86.0, 4214.0)	(87.0, 2436.0)	(88.0, 1274.0)	(89.0, 680.5)	(90.0, 404.0)	(91.0, 282.0)	(92.0, 245.0)	(93.0, 197.0)	(94.0, 186.5)	(95.0, 186.5)	(96.0, 197.5)	(97.0, 222.5)	(98.0, 257.0)	(99.0, 425.5)	(100.0, 1262.5)
SRR20736634_1	(0.0, 1850.0)	(1.0, 2278.5)	(2.0, 2535.0)	(3.0, 2450.5)	(4.0, 2260.0)	(5.0, 1768.5)	(6.0, 1437.5)	(7.0, 1263.5)	(8.0, 1186.5)	(9.0, 1094.0)	(10.0, 1024.0)	(11.0, 1018.0)	(12.0, 1022.0)	(13.0, 1084.5)	(14.0, 1217.0)	(15.0, 1517.0)	(16.0, 2149.0)	(17.0, 3546.0)	(18.0, 6094.5)	(19.0, 10457.0)	(20.0, 17434.0)	(21.0, 27794.5)	(22.0, 42738.0)	(23.0, 63389.0)	(24.0, 89302.5)	(25.0, 122654.5)	(26.0, 164787.5)	(27.0, 210349.0)	(28.0, 258982.0)	(29.0, 313151.5)	(30.0, 368497.5)	(31.0, 426473.5)	(32.0, 487292.5)	(33.0, 546011.0)	(34.0, 599123.0)	(35.0, 651646.5)	(36.0, 712282.0)	(37.0, 777315.0)	(38.0, 833245.0)	(39.0, 881500.5)	(40.0, 922699.0)	(41.0, 951853.5)	(42.0, 988782.5)	(43.0, 1023366.0)	(44.0, 1027896.5)	(45.0, 1037312.0)	(46.0, 1041625.5)	(47.0, 1026603.5)	(48.0, 1012404.0)	(49.0, 996400.0)	(50.0, 983999.0)	(51.0, 963329.0)	(52.0, 929042.0)	(53.0, 889133.5)	(54.0, 852947.0)	(55.0, 827352.5)	(56.0, 794042.0)	(57.0, 746651.5)	(58.0, 716887.0)	(59.0, 699828.5)	(60.0, 661917.0)	(61.0, 613415.0)	(62.0, 563859.5)	(63.0, 513063.0)	(64.0, 467965.0)	(65.0, 416510.5)	(66.0, 359789.5)	(67.0, 310576.5)	(68.0, 268828.5)	(69.0, 227191.0)	(70.0, 186432.5)	(71.0, 152041.5)	(72.0, 128567.5)	(73.0, 108253.0)	(74.0, 90660.5)	(75.0, 76878.5)	(76.0, 64015.0)	(77.0, 55903.5)	(78.0, 48552.5)	(79.0, 39403.0)	(80.0, 30152.5)	(81.0, 21958.5)	(82.0, 15985.0)	(83.0, 11387.0)	(84.0, 7286.5)	(85.0, 4139.0)	(86.0, 2156.0)	(87.0, 987.5)	(88.0, 368.0)	(89.0, 148.5)	(90.0, 75.0)	(91.0, 26.5)	(92.0, 15.0)	(93.0, 14.0)	(94.0, 6.5)	(95.0, 3.0)	(96.0, 2.5)	(97.0, 1.5)	(98.0, 0.5)	(99.0, 1.0)	(100.0, 2.5)
SRR20736634_2	(0.0, 1562.0)	(1.0, 1871.0)	(2.0, 2115.0)	(3.0, 2120.0)	(4.0, 1989.0)	(5.0, 1599.5)	(6.0, 1351.5)	(7.0, 1229.5)	(8.0, 1145.0)	(9.0, 1120.0)	(10.0, 1107.5)	(11.0, 1076.0)	(12.0, 1071.5)	(13.0, 1139.5)	(14.0, 1259.5)	(15.0, 1566.5)	(16.0, 2200.5)	(17.0, 3592.5)	(18.0, 6114.5)	(19.0, 10409.5)	(20.0, 17307.5)	(21.0, 27661.5)	(22.0, 42137.0)	(23.0, 62052.5)	(24.0, 88398.5)	(25.0, 121533.0)	(26.0, 161802.5)	(27.0, 206978.0)	(28.0, 256032.5)	(29.0, 310064.0)	(30.0, 365843.0)	(31.0, 424526.0)	(32.0, 484421.5)	(33.0, 542224.0)	(34.0, 596721.0)	(35.0, 649924.0)	(36.0, 710537.0)	(37.0, 775822.5)	(38.0, 831766.0)	(39.0, 879261.5)	(40.0, 919481.5)	(41.0, 950131.0)	(42.0, 985172.5)	(43.0, 1018328.0)	(44.0, 1025828.5)	(45.0, 1033736.5)	(46.0, 1040659.0)	(47.0, 1029085.5)	(48.0, 1013992.0)	(49.0, 997391.0)	(50.0, 982711.5)	(51.0, 961823.5)	(52.0, 929720.0)	(53.0, 890677.0)	(54.0, 853373.5)	(55.0, 827706.0)	(56.0, 795858.0)	(57.0, 749332.5)	(58.0, 718057.5)	(59.0, 700415.0)	(60.0, 663219.5)	(61.0, 616127.5)	(62.0, 566921.0)	(63.0, 515777.0)	(64.0, 470012.5)	(65.0, 417515.0)	(66.0, 362430.0)	(67.0, 313667.0)	(68.0, 271077.0)	(69.0, 229717.5)	(70.0, 190120.5)	(71.0, 156394.5)	(72.0, 131754.5)	(73.0, 110797.0)	(74.0, 92713.5)	(75.0, 77888.5)	(76.0, 64979.5)	(77.0, 56551.5)	(78.0, 48406.0)	(79.0, 39242.5)	(80.0, 30497.0)	(81.0, 22301.5)	(82.0, 16051.5)	(83.0, 11598.5)	(84.0, 7829.0)	(85.0, 4648.0)	(86.0, 2560.5)	(87.0, 1351.5)	(88.0, 712.5)	(89.0, 440.5)	(90.0, 295.0)	(91.0, 237.5)	(92.0, 211.5)	(93.0, 175.5)	(94.0, 155.0)	(95.0, 167.0)	(96.0, 192.5)	(97.0, 219.0)	(98.0, 270.5)	(99.0, 413.5)	(100.0, 1131.5)
