Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR20736630_1	(16.0, 15.0)	(17.0, 70.0)	(18.0, 363.0)	(19.0, 1221.0)	(20.0, 3532.0)	(21.0, 7254.0)	(22.0, 12462.0)	(23.0, 19450.0)	(24.0, 27830.0)	(25.0, 40025.0)	(26.0, 57558.0)	(27.0, 80472.0)	(28.0, 109237.0)	(29.0, 144030.0)	(30.0, 183864.0)	(31.0, 229085.0)	(32.0, 281689.0)	(33.0, 342599.0)	(34.0, 417774.0)	(35.0, 519419.0)	(36.0, 663964.0)	(37.0, 901094.0)	(38.0, 1381879.0)	(39.0, 2868354.0)	(40.0, 14566332.0)					
SRR20736630_2	(11.0, 1.0)	(12.0, 39.0)	(13.0, 319.0)	(14.0, 866.0)	(15.0, 2274.0)	(16.0, 6972.0)	(17.0, 16066.0)	(18.0, 27449.0)	(19.0, 39768.0)	(20.0, 54327.0)	(21.0, 69331.0)	(22.0, 86121.0)	(23.0, 102274.0)	(24.0, 119534.0)	(25.0, 138949.0)	(26.0, 162366.0)	(27.0, 189656.0)	(28.0, 219774.0)	(29.0, 255332.0)	(30.0, 297627.0)	(31.0, 346336.0)	(32.0, 408336.0)	(33.0, 489531.0)	(34.0, 599770.0)	(35.0, 755235.0)	(36.0, 986252.0)	(37.0, 1378694.0)	(38.0, 2135456.0)	(39.0, 4114901.0)	(40.0, 9856016.0)
SRR20736631_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 10.0)	(17.0, 70.0)	(18.0, 321.0)	(19.0, 1260.0)	(20.0, 3293.0)	(21.0, 6821.0)	(22.0, 11717.0)	(23.0, 18345.0)	(24.0, 27485.0)	(25.0, 40771.0)	(26.0, 59418.0)	(27.0, 83136.0)	(28.0, 113039.0)	(29.0, 149121.0)	(30.0, 189556.0)	(31.0, 235368.0)	(32.0, 288247.0)	(33.0, 351076.0)	(34.0, 426833.0)	(35.0, 526017.0)	(36.0, 670037.0)	(37.0, 905691.0)	(38.0, 1380942.0)	(39.0, 2838885.0)	(40.0, 14562806.0)			
SRR20736631_2	(12.0, 41.0)	(13.0, 429.0)	(14.0, 1085.0)	(15.0, 2679.0)	(16.0, 8068.0)	(17.0, 18091.0)	(18.0, 30129.0)	(19.0, 43027.0)	(20.0, 58189.0)	(21.0, 74135.0)	(22.0, 90107.0)	(23.0, 108361.0)	(24.0, 127025.0)	(25.0, 147853.0)	(26.0, 170741.0)	(27.0, 198994.0)	(28.0, 230755.0)	(29.0, 267987.0)	(30.0, 309251.0)	(31.0, 359091.0)	(32.0, 421551.0)	(33.0, 504846.0)	(34.0, 612706.0)	(35.0, 767791.0)	(36.0, 1000966.0)	(37.0, 1393081.0)	(38.0, 2141461.0)	(39.0, 4100162.0)	(40.0, 9701665.0)	
SRR20736632_1	(13.0, 1.0)	(14.0, 1.0)	(15.0, 1.0)	(16.0, 13.0)	(17.0, 86.0)	(18.0, 455.0)	(19.0, 1665.0)	(20.0, 4528.0)	(21.0, 9586.0)	(22.0, 16963.0)	(23.0, 27017.0)	(24.0, 41414.0)	(25.0, 61707.0)	(26.0, 90993.0)	(27.0, 128428.0)	(28.0, 175771.0)	(29.0, 229524.0)	(30.0, 292326.0)	(31.0, 362194.0)	(32.0, 443246.0)	(33.0, 537304.0)	(34.0, 654892.0)	(35.0, 810559.0)	(36.0, 1032744.0)	(37.0, 1399840.0)	(38.0, 2146789.0)	(39.0, 4446334.0)	(40.0, 22061451.0)		
SRR20736632_2	(11.0, 3.0)	(12.0, 58.0)	(13.0, 337.0)	(14.0, 1104.0)	(15.0, 3492.0)	(16.0, 11833.0)	(17.0, 28007.0)	(18.0, 47961.0)	(19.0, 69728.0)	(20.0, 93375.0)	(21.0, 119713.0)	(22.0, 146316.0)	(23.0, 175110.0)	(24.0, 206316.0)	(25.0, 238903.0)	(26.0, 277308.0)	(27.0, 320731.0)	(28.0, 372013.0)	(29.0, 430457.0)	(30.0, 495126.0)	(31.0, 571547.0)	(32.0, 671547.0)	(33.0, 801392.0)	(34.0, 973848.0)	(35.0, 1214244.0)	(36.0, 1582694.0)	(37.0, 2191246.0)	(38.0, 3369199.0)	(39.0, 6399035.0)	(40.0, 14163189.0)
SRR20736633_1	(15.0, 1.0)	(16.0, 14.0)	(17.0, 80.0)	(18.0, 418.0)	(19.0, 1553.0)	(20.0, 4497.0)	(21.0, 9414.0)	(22.0, 16418.0)	(23.0, 26457.0)	(24.0, 40315.0)	(25.0, 60666.0)	(26.0, 88957.0)	(27.0, 125475.0)	(28.0, 169372.0)	(29.0, 221619.0)	(30.0, 281818.0)	(31.0, 348561.0)	(32.0, 424680.0)	(33.0, 516070.0)	(34.0, 626835.0)	(35.0, 775266.0)	(36.0, 988994.0)	(37.0, 1341863.0)	(38.0, 2056409.0)	(39.0, 4267631.0)	(40.0, 20871197.0)				
SRR20736633_2	(11.0, 4.0)	(12.0, 51.0)	(13.0, 553.0)	(14.0, 1383.0)	(15.0, 3954.0)	(16.0, 12637.0)	(17.0, 29837.0)	(18.0, 50794.0)	(19.0, 73074.0)	(20.0, 97121.0)	(21.0, 123189.0)	(22.0, 148706.0)	(23.0, 176299.0)	(24.0, 205858.0)	(25.0, 238998.0)	(26.0, 275504.0)	(27.0, 318045.0)	(28.0, 367246.0)	(29.0, 423598.0)	(30.0, 484723.0)	(31.0, 559456.0)	(32.0, 653358.0)	(33.0, 776656.0)	(34.0, 940343.0)	(35.0, 1175264.0)	(36.0, 1527692.0)	(37.0, 2110650.0)	(38.0, 3235872.0)	(39.0, 6111484.0)	(40.0, 13142231.0)
SRR20736634_1	(15.0, 2.0)	(16.0, 11.0)	(17.0, 104.0)	(18.0, 443.0)	(19.0, 1574.0)	(20.0, 4392.0)	(21.0, 9013.0)	(22.0, 15628.0)	(23.0, 25347.0)	(24.0, 38481.0)	(25.0, 57804.0)	(26.0, 84150.0)	(27.0, 118000.0)	(28.0, 159978.0)	(29.0, 208989.0)	(30.0, 265161.0)	(31.0, 329084.0)	(32.0, 401452.0)	(33.0, 489297.0)	(34.0, 595038.0)	(35.0, 736539.0)	(36.0, 942256.0)	(37.0, 1277546.0)	(38.0, 1958755.0)	(39.0, 4062697.0)	(40.0, 19739248.0)				
SRR20736634_2	(12.0, 51.0)	(13.0, 489.0)	(14.0, 1298.0)	(15.0, 3589.0)	(16.0, 12116.0)	(17.0, 27960.0)	(18.0, 47695.0)	(19.0, 68191.0)	(20.0, 90392.0)	(21.0, 113565.0)	(22.0, 137617.0)	(23.0, 162929.0)	(24.0, 189797.0)	(25.0, 219801.0)	(26.0, 253719.0)	(27.0, 293463.0)	(28.0, 338787.0)	(29.0, 389247.0)	(30.0, 449617.0)	(31.0, 520884.0)	(32.0, 611384.0)	(33.0, 725991.0)	(34.0, 883689.0)	(35.0, 1104576.0)	(36.0, 1434235.0)	(37.0, 1984976.0)	(38.0, 3044869.0)	(39.0, 5738034.0)	(40.0, 12672028.0)	
