Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR20736630_1	(1.0, 42.35070053315517)	(2.0, 16.449591750407507)	(3.0, 8.134343078097642)	(4.0, 4.694531745645961)	(5.0, 3.1952913351275085)	(6.0, 2.312867466339523)	(7.0, 1.7081880430034402)	(8.0, 1.3736702479780378)	(9.0, 1.0825682631111766)	('>10', 10.48850018535604)	('>50', 2.7922050077348723)	('>100', 4.377419618907133)	('>500', 0.6799457940210174)	('>1k', 0.29791868143823813)	('>5k', 0.062258249676878354)	('>10k+', 0.0)
SRR20736630_2	(1.0, 44.8531834795001)	(2.0, 16.104535261755178)	(3.0, 7.889943399496229)	(4.0, 4.549407729681267)	(5.0, 3.038276808506706)	(6.0, 2.190268266884352)	(7.0, 1.62320998407351)	(8.0, 1.2596744751753874)	(9.0, 1.0677489457187093)	('>10', 9.81443468285735)	('>50', 2.7163947476251846)	('>100', 4.0271843589063705)	('>500', 0.5599299751022929)	('>1k', 0.27269428503325377)	('>5k', 0.03311359968423827)	('>10k+', 0.0)
SRR20736631_1	(1.0, 43.252185345610485)	(2.0, 16.374222562240178)	(3.0, 7.9261975120569845)	(4.0, 4.647728232067979)	(5.0, 3.0565890269623774)	(6.0, 2.1002876771946393)	(7.0, 1.6585720698321142)	(8.0, 1.299893174356701)	(9.0, 1.0878601398150185)	('>10', 10.312126522030184)	('>50', 2.9920746286577957)	('>100', 4.388077818624735)	('>500', 0.6078186996000079)	('>1k', 0.26651657401515216)	('>5k', 0.02985001693560049)	('>10k+', 0.0)
SRR20736631_2	(1.0, 45.95689011982566)	(2.0, 15.937964030953392)	(3.0, 7.687742942778628)	(4.0, 4.343654797758285)	(5.0, 2.9671118726293924)	(6.0, 2.0488362340176094)	(7.0, 1.5590147546761133)	(8.0, 1.269536897567675)	(9.0, 0.9449797148806641)	('>10', 9.833648187842705)	('>50', 2.8112605879832446)	('>100', 3.87808570475306)	('>500', 0.539204799612285)	('>1k', 0.19445456454339133)	('>5k', 0.027614790177847265)	('>10k+', 0.0)
SRR20736632_1	(1.0, 39.93919110994687)	(2.0, 15.073176728591609)	(3.0, 7.963125557442023)	(4.0, 4.791995472362976)	(5.0, 3.352221180685164)	(6.0, 2.464927564933306)	(7.0, 1.9107787325853018)	(8.0, 1.5235985282824522)	(9.0, 1.257311906595514)	('>10', 11.82505114490914)	('>50', 3.1584579423550014)	('>100', 5.121102379220814)	('>500', 1.0109050621785993)	('>1k', 0.583420643617461)	('>5k', 0.024736046293777306)	('>10k+', 0.0)
SRR20736632_2	(1.0, 43.11874587170447)	(2.0, 14.502204115766023)	(3.0, 7.7545172945795215)	(4.0, 4.713095702662675)	(5.0, 3.2370450444507206)	(6.0, 2.3644722644404705)	(7.0, 1.777553690333068)	(8.0, 1.4140412746214635)	(9.0, 1.1454975281320845)	('>10', 10.988087388182567)	('>50', 2.9457005201229345)	('>100', 4.63143202169988)	('>500', 0.8903232692077983)	('>1k', 0.4956873356631365)	('>5k', 0.021596678433189957)	('>10k+', 0.0)
SRR20736633_1	(1.0, 42.9608323349114)	(2.0, 15.174851978473328)	(3.0, 7.193855871468882)	(4.0, 4.371912130406794)	(5.0, 2.8563896893710883)	(6.0, 2.0907537178170563)	(7.0, 1.5482075166497504)	(8.0, 1.318925816686192)	(9.0, 1.047158473762791)	('>10', 10.283519429364189)	('>50', 2.994813012795313)	('>100', 5.500984901622214)	('>500', 1.5270001909674227)	('>1k', 1.0720710222105256)	('>5k', 0.0587239134929496)	('>10k+', 0.0)
SRR20736633_2	(1.0, 46.152821973720094)	(2.0, 14.792400049434494)	(3.0, 6.88045432361129)	(4.0, 4.220975895922628)	(5.0, 2.6175591174373443)	(6.0, 1.962556052244722)	(7.0, 1.5080216090211662)	(8.0, 1.1762926388159956)	(9.0, 0.9806916438544557)	('>10', 9.567109649338745)	('>50', 2.8555389371094093)	('>100', 5.0046299780572125)	('>500', 1.3352738832503641)	('>1k', 0.9066218244928234)	('>5k', 0.039052423689319014)	('>10k+', 0.0)
SRR20736634_1	(1.0, 43.14213497602593)	(2.0, 15.750597822899362)	(3.0, 7.508450507610738)	(4.0, 4.3252963390757)	(5.0, 2.8987090476473036)	(6.0, 2.0345450586362945)	(7.0, 1.5766658866333172)	(8.0, 1.2012279218959976)	(9.0, 1.009573512561374)	('>10', 9.91069382490469)	('>50', 2.843702720394674)	('>100', 5.298037973581745)	('>500', 1.4304508228878114)	('>1k', 1.0243256109891277)	('>5k', 0.045587974255977784)	('>10k+', 0.0)
SRR20736634_2	(1.0, 46.484034769980234)	(2.0, 15.093589724980777)	(3.0, 7.08120040144689)	(4.0, 4.122396128810201)	(5.0, 2.616112696596553)	(6.0, 1.995867817665268)	(7.0, 1.479109998523005)	(8.0, 1.1676331846131827)	(9.0, 0.9319812227924374)	('>10', 9.293157004393906)	('>50', 2.7478663775863903)	('>100', 4.8442828699819485)	('>500', 1.2890725246175423)	('>1k', 0.8298974553120261)	('>5k', 0.023797822699554674)	('>10k+', 0.0)
SRR20736635_1	(1.0, 45.327735735716246)	(2.0, 16.130164705929445)	(3.0, 7.498602941000261)	(4.0, 4.087936608165199)	(5.0, 2.765732099829222)	(6.0, 1.8890724151647966)	(7.0, 1.4043579612867858)	(8.0, 1.0852637550697322)	(9.0, 0.9282583153469341)	('>10', 9.491020368968158)	('>50', 2.851265314199311)	('>100', 4.799540401939152)	('>500', 1.062446450224039)	('>1k', 0.6221834263488419)	('>5k', 0.0564195008120532)	('>10k+', 0.0)
SRR20736635_2	(1.0, 47.968273857573415)	(2.0, 15.850308455028248)	(3.0, 7.2095140839540095)	(4.0, 3.9479463498321756)	(5.0, 2.5691642264116)	(6.0, 1.7934755570504664)	(7.0, 1.3918081266333022)	(8.0, 0.9860373484714108)	(9.0, 0.820120494467815)	('>10', 8.983428628061736)	('>50', 2.5410545751837526)	('>100', 4.47440967149977)	('>500', 0.9323564688631575)	('>1k', 0.5057084033566838)	('>5k', 0.02639375361257097)	('>10k+', 0.0)
