Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
SRR20736630_1	(92, 1.0)	(94, 11.0)	(96, 11.0)	(98, 4870.0)	(100, 11144.0)	(102, 13014.0)	(104, 14028.0)	(106, 15003.0)	(108, 15885.0)	(110, 17991.0)	(112, 20248.0)	(114, 22187.0)	(116, 22771.0)	(118, 23583.0)	(120, 26151.0)	(122, 29506.0)	(124, 31765.0)	(126, 32678.0)	(128, 33705.0)	(130, 35877.0)	(132, 40757.0)	(134, 42813.0)	(136, 21949.0)	(138, 44894.0)	(140, 46893.0)	(142, 53274.0)	(144, 100533.0)	(146, 0.0)	(148, 0.0)	(150, 22138030.0)
SRR20736630_2	(92, 1.0)	(94, 11.0)	(96, 11.0)	(98, 4870.0)	(100, 11144.0)	(102, 13014.0)	(104, 14028.0)	(106, 15003.0)	(108, 15885.0)	(110, 17991.0)	(112, 20248.0)	(114, 22187.0)	(116, 22771.0)	(118, 23583.0)	(120, 26151.0)	(122, 29506.0)	(124, 31765.0)	(126, 32678.0)	(128, 33705.0)	(130, 35877.0)	(132, 40757.0)	(134, 42813.0)	(136, 21949.0)	(138, 44894.0)	(140, 46893.0)	(142, 53274.0)	(144, 100533.0)	(146, 0.0)	(148, 0.0)	(150, 22138030.0)
SRR20736631_1	(92, 3.0)	(94, 35.0)	(96, 27.0)	(98, 7564.0)	(100, 16779.0)	(102, 18784.0)	(104, 19783.0)	(106, 20191.0)	(108, 21536.0)	(110, 24029.0)	(112, 26461.0)	(114, 27988.0)	(116, 28084.0)	(118, 29451.0)	(120, 31622.0)	(122, 34681.0)	(124, 36777.0)	(126, 37450.0)	(128, 38550.0)	(130, 41076.0)	(132, 44521.0)	(134, 46987.0)	(136, 24232.0)	(138, 48615.0)	(140, 50190.0)	(142, 56641.0)	(144, 103143.0)	(146, 0.0)	(148, 0.0)	(150, 22055067.0)
SRR20736631_2	(92, 3.0)	(94, 35.0)	(96, 27.0)	(98, 7564.0)	(100, 16779.0)	(102, 18784.0)	(104, 19783.0)	(106, 20191.0)	(108, 21536.0)	(110, 24029.0)	(112, 26461.0)	(114, 27988.0)	(116, 28084.0)	(118, 29451.0)	(120, 31622.0)	(122, 34681.0)	(124, 36777.0)	(126, 37450.0)	(128, 38550.0)	(130, 41076.0)	(132, 44521.0)	(134, 46987.0)	(136, 24232.0)	(138, 48615.0)	(140, 50190.0)	(142, 56641.0)	(144, 103143.0)	(146, 0.0)	(148, 0.0)	(150, 22055067.0)
SRR20736632_1	(92, 1.0)	(94, 17.0)	(96, 19.0)	(98, 4689.0)	(100, 10813.0)	(102, 12461.0)	(104, 13499.0)	(106, 14430.0)	(108, 15613.0)	(110, 17641.0)	(112, 20096.0)	(114, 21846.0)	(116, 22543.0)	(118, 24164.0)	(120, 26452.0)	(122, 29056.0)	(124, 31507.0)	(126, 32164.0)	(128, 34229.0)	(130, 36322.0)	(132, 39703.0)	(134, 42976.0)	(136, 22241.0)	(138, 45189.0)	(140, 47596.0)	(142, 53135.0)	(144, 126240.0)	(146, 0.0)	(148, 0.0)	(150, 34231190.0)
SRR20736632_2	(92, 1.0)	(94, 17.0)	(96, 19.0)	(98, 4689.0)	(100, 10813.0)	(102, 12461.0)	(104, 13499.0)	(106, 14430.0)	(108, 15613.0)	(110, 17641.0)	(112, 20096.0)	(114, 21846.0)	(116, 22543.0)	(118, 24164.0)	(120, 26452.0)	(122, 29056.0)	(124, 31507.0)	(126, 32164.0)	(128, 34229.0)	(130, 36322.0)	(132, 39703.0)	(134, 42976.0)	(136, 22241.0)	(138, 45189.0)	(140, 47596.0)	(142, 53135.0)	(144, 126240.0)	(146, 0.0)	(148, 0.0)	(150, 34231190.0)
SRR20736633_1	(92, 2.0)	(94, 9.0)	(96, 10.0)	(98, 4334.0)	(100, 9785.0)	(102, 10704.0)	(104, 11532.0)	(106, 12228.0)	(108, 12817.0)	(110, 14433.0)	(112, 15851.0)	(114, 16982.0)	(116, 17398.0)	(118, 18825.0)	(120, 20200.0)	(122, 22135.0)	(124, 23830.0)	(126, 24695.0)	(128, 26044.0)	(130, 28106.0)	(132, 30424.0)	(134, 33005.0)	(136, 17115.0)	(138, 35088.0)	(140, 37317.0)	(142, 42274.0)	(144, 109069.0)	(146, 0.0)	(148, 0.0)	(150, 32670368.0)
SRR20736633_2	(92, 2.0)	(94, 9.0)	(96, 10.0)	(98, 4334.0)	(100, 9785.0)	(102, 10704.0)	(104, 11532.0)	(106, 12228.0)	(108, 12817.0)	(110, 14433.0)	(112, 15851.0)	(114, 16982.0)	(116, 17398.0)	(118, 18825.0)	(120, 20200.0)	(122, 22135.0)	(124, 23830.0)	(126, 24695.0)	(128, 26044.0)	(130, 28106.0)	(132, 30424.0)	(134, 33005.0)	(136, 17115.0)	(138, 35088.0)	(140, 37317.0)	(142, 42274.0)	(144, 109069.0)	(146, 0.0)	(148, 0.0)	(150, 32670368.0)
SRR20736634_1	(92, 2.0)	(94, 28.0)	(96, 25.0)	(98, 7780.0)	(100, 17222.0)	(102, 19928.0)	(104, 21352.0)	(106, 22702.0)	(108, 24597.0)	(110, 27328.0)	(112, 30463.0)	(114, 32738.0)	(116, 33508.0)	(118, 35865.0)	(120, 38817.0)	(122, 42580.0)	(124, 44910.0)	(126, 46162.0)	(128, 47925.0)	(130, 50296.0)	(132, 54664.0)	(134, 58217.0)	(136, 29556.0)	(138, 60270.0)	(140, 62567.0)	(142, 68775.0)	(144, 131821.0)	(146, 0.0)	(148, 0.0)	(150, 30510891.0)
SRR20736634_2	(92, 2.0)	(94, 28.0)	(96, 25.0)	(98, 7780.0)	(100, 17222.0)	(102, 19928.0)	(104, 21352.0)	(106, 22702.0)	(108, 24597.0)	(110, 27328.0)	(112, 30463.0)	(114, 32738.0)	(116, 33508.0)	(118, 35865.0)	(120, 38817.0)	(122, 42580.0)	(124, 44910.0)	(126, 46162.0)	(128, 47925.0)	(130, 50296.0)	(132, 54664.0)	(134, 58217.0)	(136, 29556.0)	(138, 60270.0)	(140, 62567.0)	(142, 68775.0)	(144, 131821.0)	(146, 0.0)	(148, 0.0)	(150, 30510891.0)
SRR20736635_1	(92, 2.0)	(94, 19.0)	(96, 11.0)	(98, 4258.0)	(100, 9612.0)	(102, 10853.0)	(104, 11339.0)	(106, 11708.0)	(108, 12624.0)	(110, 13577.0)	(112, 15409.0)	(114, 15874.0)	(116, 16422.0)	(118, 16969.0)	(120, 18245.0)	(122, 20079.0)	(124, 21427.0)	(126, 21718.0)	(128, 22641.0)	(130, 23632.0)	(132, 25725.0)	(134, 27667.0)	(136, 13980.0)	(138, 28717.0)	(140, 30217.0)	(142, 33620.0)	(144, 78625.0)	(146, 0.0)	(148, 0.0)	(150, 21976159.0)
SRR20736635_2	(92, 2.0)	(94, 19.0)	(96, 11.0)	(98, 4258.0)	(100, 9612.0)	(102, 10853.0)	(104, 11339.0)	(106, 11708.0)	(108, 12624.0)	(110, 13577.0)	(112, 15409.0)	(114, 15874.0)	(116, 16422.0)	(118, 16969.0)	(120, 18245.0)	(122, 20079.0)	(124, 21427.0)	(126, 21718.0)	(128, 22641.0)	(130, 23632.0)	(132, 25725.0)	(134, 27667.0)	(136, 13980.0)	(138, 28717.0)	(140, 30217.0)	(142, 33620.0)	(144, 78625.0)	(146, 0.0)	(148, 0.0)	(150, 21976159.0)
