Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR20736630_1	43.3267899298115	47.0	149.81457535600404	150	10.0	22.859572
SRR20736630_2	41.23308808853031	47.0	149.81457535600404	150	10.0	22.859572
SRR20736631_1	42.62742167292575	48.0	149.66095325580955	150	10.0	22.890266999999998
SRR20736631_2	40.39306135242451	48.0	149.66095325580955	150	10.0	22.890266999999998
SRR20736632_1	46.24237456597903	48.0	150.05158087447356	150	10.0	34.975832
SRR20736632_2	43.57642756151596	48.0	150.05158087447356	150	10.0	34.975832
SRR20736633_1	43.88890096909483	47.0	150.12432677640902	150	10.0	33.264579999999995
SRR20736633_2	41.179953394208304	47.0	150.12432677640902	150	10.0	33.264579999999995
SRR20736634_1	43.36646051459086	47.0	149.780877957224	150	10.0	31.520989
SRR20736634_2	40.67681316328523	47.0	149.780877957224	150	10.0	31.520989
SRR20736635_1	41.18788702815096	47.0	149.99999423961313	150	10.0	22.481129
SRR20736635_2	38.93230339972482	47.0	149.99999423961313	150	10.0	22.481129
